G3,Dalc,Fedu,G1,G2,Medu,Walc,absences,age,failures,famrel,freetime,goout,health,studytime,traveltime
3,0,0.5,0.6875,0.842105263157895,0.5,0,0,0,0,0.75,1,0.25,0.5,0.666666666666667,0
2,0,1,0.6875,0.736842105263158,1,0.25,0.0533333333333333,0.142857142857143,0,0.75,0.75,0.75,0.25,0,0
2,0,1,0.625,0.736842105263158,1,0.25,0.08,0.142857142857143,0,0.5,0.25,0.5,0.25,0.666666666666667,0
2,0,0.75,0.3125,0.526315789473684,0.75,0,0.0533333333333333,0.142857142857143,0,1,0.5,0.25,0.75,0.333333333333333,0.666666666666667
1,0.25,0.5,0.1875,0.263157894736842,0.75,0.75,0.213333333333333,0.285714285714286,1,1,1,1,1,0,0
2,0,0.75,0.3125,0.526315789473684,1,0.5,0.0533333333333333,0.142857142857143,0,0.5,0,0.5,1,0,0
3,0,0.75,0.625,0.736842105263158,1,0,0,0,0,0.75,0.75,0,0,0.333333333333333,0
3,0,1,0.5625,0.789473684210526,1,0,0,0,0,1,0.75,0.25,1,0,0
3,0,0.5,0.75,0.789473684210526,1,0.5,0.0266666666666667,0.142857142857143,0,0.75,1,0,1,0.333333333333333,0
2,0.25,0.5,0.625,0.684210526315789,0.5,0.75,0,0.142857142857143,0,1,0.75,0.75,1,0.333333333333333,0.333333333333333
1,0,1,0.4375,0.473684210526316,0.5,0,0.0266666666666667,0,0,0.75,0.5,0.25,1,0.666666666666667,0
1,0,0.5,0.1875,0.473684210526316,0.5,0.5,0.186666666666667,0.142857142857143,0.666666666666667,0,0.25,0.25,1,0,0
2,0,0.5,0.5625,0.631578947368421,0.5,0.25,0.0266666666666667,0,0,0.75,0.25,0.25,1,0,0
3,0.25,0.5,0.75,0.842105263157895,1,0.75,0.0533333333333333,0,0,0.25,0.25,0.75,0,0,0
2,0,1,0.5,0.578947368421053,0.75,0,0.0533333333333333,0.142857142857143,0,1,0.5,0.5,1,0.333333333333333,0
2,1,1,0.4375,0.631578947368421,1,1,0.213333333333333,0.142857142857143,0,0.75,0.75,1,1,0.333333333333333,0
2,0.5,1,0.375,0.578947368421053,1,0.75,0,0,0,1,0.75,0.25,1,0.333333333333333,0
3,0,1,0.875,0.842105263157895,1,0,0,0,0,0.75,0.5,0,1,0.333333333333333,0.333333333333333
3,0,0.75,0.875,0.842105263157895,1,0,0,0,0,0.75,1,0.25,1,0.333333333333333,0
2,0,0.75,0.3125,0.526315789473684,0.75,0,0,0,0,1,0.5,0.25,0.25,0.333333333333333,0
3,0,0.5,0.5625,0.736842105263158,0.75,0,0,0.142857142857143,0,1,0.75,0.5,1,0,0
1,0,0.75,0.3125,0.368421052631579,0.5,0,0,0,0,0.5,1,0,1,0,0.333333333333333
3,0,0.75,0.75,0.842105263157895,1,0,0.0266666666666667,0,0,1,0.75,0.5,0.75,0.666666666666667,0
3,0,1,0.75,0.842105263157895,1,0,0.0933333333333333,0.142857142857143,0,0.25,0.75,0.5,1,0.666666666666667,0.333333333333333
2,0,1,0.5625,0.631578947368421,0.75,0,0.0266666666666667,0,0,0.75,0.5,0.25,1,0.666666666666667,0
2,0,0.5,0.6875,0.684210526315789,0.5,0,0.106666666666667,0,0,0.75,0.5,0,0.25,0,0
2,0,0.5,0.25,0.526315789473684,0.5,0.25,0.333333333333333,0.142857142857143,0.333333333333333,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333
2,0.25,1,0.5625,0.631578947368421,1,0.75,0.106666666666667,0,0,1,0.75,0.5,1,0,0
3,0,1,1,0.947368421052632,1,0,0.0266666666666667,0,0,0.75,0.5,0.5,1,0.333333333333333,0
2,0,0.5,0.3125,0.421052631578947,0.5,0,0,0,0,1,0.75,0,0,0,0
1,0.25,0.5,0.4375,0.526315789473684,0.5,0.25,0.186666666666667,0.142857142857143,0.333333333333333,0.75,0.5,0.5,1,0.333333333333333,0.333333333333333
1,0,0.75,0.3125,0.421052631578947,1,0,0.106666666666667,0,0,1,0.25,0.25,1,0.333333333333333,0
2,0,0.75,0.5,0.631578947368421,0.75,0.75,0.16,0.142857142857143,0,0.25,0.5,1,0.5,0.333333333333333,0
3,0,0.75,1,1,1,0,0.0533333333333333,0.142857142857143,0,0.75,0.25,0.25,0.25,1,0
2,0.25,0.5,0.75,0.789473684210526,1,0.25,0.0266666666666667,0,0,0.75,0.5,0.5,1,0.333333333333333,0
1,0,1,0.25,0.368421052631579,1,0,0.0266666666666667,0,0.333333333333333,0.75,0.75,0.75,0.5,0.333333333333333,0
2,0.25,0.5,0.5625,0.684210526315789,0.5,0.5,0.0266666666666667,0.142857142857143,0,0.75,0.5,0.5,0.75,0.333333333333333,0.666666666666667
2,0,0.5,0.5,0.684210526315789,1,0,0.0266666666666667,0,0,0.75,0.5,0.5,1,0.333333333333333,0
2,0.5,0.5,0.5,0.578947368421053,1,0.75,0.08,0,0.333333333333333,1,1,1,1,0,0.333333333333333
2,0.25,1,0.3125,0.526315789473684,1,0.5,0,0,0,0.5,0.5,0.75,1,0,0
2,0.75,0.75,0.4375,0.684210526315789,0.75,0.75,0.08,0,0,1,0.5,0.75,0,0,0
2,0,0.25,0.3125,0.473684210526316,0.5,0,0.106666666666667,0.142857142857143,0,1,0.5,0.75,0.25,0.333333333333333,0
3,0,0.75,0.6875,0.789473684210526,1,0,0,0,0,0.75,0.5,0.25,0,0.333333333333333,0
3,0,1,0.6875,0.789473684210526,1,0,0.0533333333333333,0,0,0.5,0.25,0.25,1,0.333333333333333,0
1,0,0.5,0.375,0.526315789473684,0.25,0,0.0266666666666667,0,0,0.75,0.5,0.25,1,0.333333333333333,0
3,0,0.5,0.75,0.842105263157895,1,0,0.0266666666666667,0.142857142857143,0,0.75,0.25,0.5,1,0.333333333333333,0
2,0.25,1,0.4375,0.578947368421053,1,0.5,0.08,0.142857142857143,0,0.25,0.75,0.75,0.75,0.333333333333333,0
2,1,0.25,0.4375,0.421052631578947,0.25,1,0.08,0.142857142857143,0,1,1,1,1,0,1
1,0,0.5,0.3125,0.526315789473684,0.25,0,0.0533333333333333,0.142857142857143,0,0.75,0.75,0.5,0,0.333333333333333,0
1,0.25,0.75,0.4375,0.473684210526316,1,0.75,0.0266666666666667,0.142857142857143,0,0.5,0.75,0.75,0.75,0.666666666666667,0
2,0.25,0.75,0.4375,0.526315789473684,1,0.75,0,0,0,0.75,0.75,0.75,0.25,0.333333333333333,0
3,0,0.75,0.8125,0.789473684210526,1,0.25,0.0266666666666667,0.142857142857143,0,1,0.75,0.5,0,0.333333333333333,0.666666666666667
2,1,1,0.625,0.684210526315789,1,1,0.0533333333333333,0,0,0,0.5,0.5,0.5,1,0
1,0,0.25,0.25,0.368421052631579,0.75,0.25,0.0533333333333333,0.142857142857143,0,0.75,0.5,0.5,1,1,0
1,0,0.5,0.3125,0.473684210526316,0.5,0.5,0.0266666666666667,0,0,0.75,0,0.5,0.75,0.333333333333333,0.333333333333333
3,0.25,0.25,0.8125,0.842105263157895,0.75,0.5,0.16,0,0,0.75,0.75,0.25,0.5,1,0.333333333333333
3,0,0.25,0.625,0.789473684210526,0.75,0,0,0.142857142857143,0,0.75,0.5,0.25,1,1,0.333333333333333
2,0,0.5,0.4375,0.526315789473684,1,0,0,0,0,0.5,0.5,0.5,0.5,1,0
1,0.25,0.25,0.3125,0.315789473684211,0.25,0.75,0.0266666666666667,0,0.666666666666667,0.5,0.5,0.75,1,0.333333333333333,0
2,0.25,0.25,0.5625,0.631578947368421,0.75,0.25,0.0266666666666667,0.142857142857143,0,1,0.5,0.25,1,0,0
2,0.25,0.75,0.5,0.631578947368421,0.75,0.75,0.72,0.142857142857143,0,0.75,0.5,0.5,1,0.333333333333333,0
2,0.25,0.75,0.375,0.473684210526316,1,0.5,0.08,0,0,0.75,0.5,0.5,1,0.333333333333333,0
2,0,0,0.5,0.578947368421053,1,0,0.106666666666667,0,0,0.5,0.75,0.5,0,1,0.333333333333333
2,0,0.5,0.5,0.578947368421053,0.5,0.5,0,0.142857142857143,0,1,0.25,0.5,0.5,1,0
2,0,0.25,0.3125,0.421052631578947,0.5,0,0.0266666666666667,0.285714285714286,1,0.75,1,0,0.5,0,0.333333333333333
1,0,1,0.125,0.263157894736842,0.75,0.25,0.16,0.142857142857143,0,0.25,0.75,0.5,0.5,0.333333333333333,0
2,0,0.75,0.4375,0.631578947368421,0.5,0.5,0.0266666666666667,0,0,0.5,0.25,0.25,0.5,0,0
2,0,0.75,0.5,0.526315789473684,0.5,0.25,0.0533333333333333,0,0,1,0.5,0.25,1,0.666666666666667,0
1,0,0.5,0.25,0.315789473684211,0.75,0,0.133333333333333,0,0,0.75,0.75,0.75,1,0.333333333333333,0
3,0,0.5,0.75,0.789473684210526,0.5,0.5,0.0533333333333333,0,0,1,0.5,0.5,0.75,0.333333333333333,0.333333333333333
2,0.25,0.25,0.375,0.526315789473684,0.25,0.5,0.0266666666666667,0,0,0.75,0.5,0.25,0.75,0.333333333333333,0
1,0.25,1,0.25,0.473684210526316,1,0.5,0.08,0,0.666666666666667,0.75,0.75,0.75,1,0.333333333333333,0.333333333333333
1,0,0.5,0.3125,0.368421052631579,0.5,0.25,0.0533333333333333,0.142857142857143,0,0.75,0.5,0.75,0.25,0.333333333333333,0
2,0,0.5,0.625,0.736842105263158,1,0.5,0.0533333333333333,0,0,1,0.5,0.5,0,0.666666666666667,0
2,0,0.5,0.5,0.526315789473684,0.5,0,0.16,0.142857142857143,0.333333333333333,0.75,0.75,0.25,0.5,0.333333333333333,0.333333333333333
1,0.5,1,0.3125,0.315789473684211,1,1,0.24,0.142857142857143,0,0.75,0,0.5,1,0.333333333333333,0
1,0,0.75,0.25,0.368421052631579,0.75,0.5,0,0.142857142857143,0,0.75,0.5,0.5,0.75,0.666666666666667,0
3,0,0.75,0.8125,0.894736842105263,1,0.5,0.0533333333333333,0,0,0.75,1,1,0,0,0
1,0.25,0.25,0.25,0.315789473684211,0.75,0.5,0.0533333333333333,0.142857142857143,0,0.5,0.5,0.5,0.25,0.333333333333333,0
2,0,0.5,0.5,0.526315789473684,1,0,0,0.142857142857143,0,1,0.5,0.5,0,0.333333333333333,0.333333333333333
2,0,0.5,0.5,0.684210526315789,0.5,0,0.08,0,0,0.75,0.5,0.75,0.75,1,0
2,0,0.25,0.25,0.526315789473684,0.25,0,0.0266666666666667,0,0.333333333333333,0.5,0,0.25,0,1,0.333333333333333
3,0,0.75,0.5,0.789473684210526,1,0,0.0266666666666667,0.142857142857143,0,0.5,0.5,0.5,0.75,0,0.333333333333333
2,0,0.25,0.3125,0.473684210526316,0.5,0,0.0266666666666667,0.142857142857143,0,0.75,0.5,1,1,0.333333333333333,0
2,0,1,0.5,0.736842105263158,1,0.25,0.08,0.142857142857143,0,1,0.5,0.75,0,0,0
1,0,0.75,0.25,0.473684210526316,1,0,0,0.142857142857143,0,1,0.5,1,0.5,0.666666666666667,0
1,1,1,0.25,0.368421052631579,1,1,0.186666666666667,0.142857142857143,0,0.75,1,1,0.75,0,0
3,0,1,0.8125,0.894736842105263,1,0,0,0.142857142857143,0,0.75,0.75,0.5,0.75,0.666666666666667,0
2,0,1,0.4375,0.684210526315789,1,0,0.0533333333333333,0,0,1,0.5,0.5,1,0,0
1,0,0.5,0.25,0.315789473684211,0.75,0,0.346666666666667,0,0,0.75,0.5,1,0.25,0.333333333333333,0.333333333333333
3,0,1,0.8125,0.947368421052632,0.75,0,0,0,0,1,0.75,0.75,0,0.333333333333333,0
2,0,0.75,0.4375,0.578947368421053,0.75,0,0.133333333333333,0,0,0.75,0.5,0.5,0.75,1,0
1,0,0.5,0.25,0.421052631578947,0.5,0,0.106666666666667,0,0,1,0,0.25,0.5,1,0
3,0,0.75,0.8125,0.947368421052632,0.75,0,0.0266666666666667,0.142857142857143,0,1,0.5,0.5,1,0.666666666666667,0
2,0.5,1,0.4375,0.684210526315789,1,1,0.08,0,0,0,0.5,1,0,1,1
3,0,1,0.6875,0.789473684210526,1,0,0.0533333333333333,0.142857142857143,0,1,0.75,1,0.75,0.666666666666667,0
3,0,1,0.9375,1,1,0,0.08,0,0,1,1,0.5,0.75,0,0
2,0,0.75,0.25,0.526315789473684,0.75,0,0,0.142857142857143,0.333333333333333,0.75,0,0.25,0.25,0.666666666666667,0
2,0,0.5,0.4375,0.684210526315789,0.5,0,0.08,0.142857142857143,0.333333333333333,0.5,0,0.25,1,0.333333333333333,0
3,0,0.5,0.9375,1,1,0,0.133333333333333,0,0,0.5,1,0.25,0.5,0,0
1,0,0.25,0.375,0.473684210526316,0.5,0,0.106666666666667,0,0,1,0.75,0.25,1,0.333333333333333,0
3,0,1,0.75,0.789473684210526,1,0.25,0.0266666666666667,0.142857142857143,0,1,0.75,0.75,1,0.333333333333333,0
2,0,1,0.5,0.684210526315789,1,0,0.0266666666666667,0,0,0.75,0.75,0.5,0.25,0.333333333333333,0.333333333333333
2,0,0.75,0.625,0.736842105263158,0.75,0,0,0.142857142857143,0,1,0.75,0.25,1,0,0.333333333333333
1,0,0.75,0.375,0.368421052631579,0.25,0.75,0.266666666666667,0.285714285714286,0.333333333333333,1,0.25,0.75,1,0.333333333333333,0.666666666666667
2,0,1,0.6875,0.684210526315789,0.75,0.25,0.08,0,0,0.5,0.75,0.5,0.75,0,0
3,0,0.5,0.8125,0.789473684210526,0.25,0.25,0.0266666666666667,0,0,0.5,0.25,0.5,0,0.333333333333333,0
3,0,0.5,0.8125,0.736842105263158,0.5,0.25,0.08,0,0,1,1,0.75,1,1,0
2,0,1,0.625,0.684210526315789,0.5,0.25,0.0266666666666667,0.142857142857143,0,0.75,0.25,0.25,1,0.333333333333333,0.333333333333333
2,0,1,0.6875,0.578947368421053,1,0.75,0.24,0.142857142857143,0,0.5,0.75,0.75,1,0,0
1,0,0.5,0.3125,0.368421052631579,0.5,0,0,0.142857142857143,0,1,0.75,0.75,1,0.333333333333333,0
2,0.5,1,0.625,0.684210526315789,0.75,0.25,0,0,0,1,1,1,1,0,0
2,0,1,0.25,0.526315789473684,0.75,0,0,0,0,1,0.5,0.25,0,0.333333333333333,0
1,0,0.25,0.25,0.421052631578947,0,0,0.0266666666666667,0.571428571428571,1,0.5,0.75,0.25,1,0.333333333333333,0
1,0,0.5,0.25,0.210526315789474,0.5,0.25,0,0.428571428571429,0.666666666666667,0.5,0.5,0.5,0.75,0,0
3,0.25,1,0.9375,0.947368421052632,1,1,0.106666666666667,0.142857142857143,0,0.5,1,1,0.75,0,0
1,0.25,1,0.5625,0,0.75,0.25,0,0,0.666666666666667,0.75,0.25,0.25,1,0.666666666666667,0.333333333333333
1,0,0.25,0.3125,0,0.25,0.25,0,0,0,0.75,0.5,0.5,0.75,0,0.666666666666667
2,0,0.5,0.4375,0.684210526315789,0.5,0.5,0.16,0.285714285714286,0,0.5,0.75,0.75,1,0,0
2,0,1,0.5625,0.578947368421053,0.75,0.75,0.213333333333333,0.142857142857143,0,0.5,0.25,0,1,0,0
1,0,1,0.375,0,0.75,0,0,0,0,1,0.5,0.5,1,0.333333333333333,1
1,0,1,0.5,0,1,0,0,0,0,0.75,0.5,0.5,1,0.666666666666667,0
1,0.25,1,0.4375,0,0.75,0.75,0,0.285714285714286,0,1,0.75,1,1,0.333333333333333,0.666666666666667
1,0,0.75,0.0625,0,0.75,0,0,0.142857142857143,0.666666666666667,0.75,0.5,0.25,1,0,0.333333333333333
2,0,0.25,0.6875,0.631578947368421,0.25,0.5,0,0.142857142857143,0.333333333333333,0.75,0.75,0.75,1,0.333333333333333,0
3,0,1,0.8125,0.842105263157895,1,0,0,0,0,0.75,0.5,0.25,1,0,0.333333333333333
1,0,0.75,0.25,0.473684210526316,1,0,0,0,0,0.25,0.25,0.25,0.5,1,0.333333333333333
1,0.25,0.5,0.375,0.473684210526316,0.5,0.25,0.106666666666667,0.142857142857143,0.666666666666667,0.25,0.5,0.5,0.25,0,0.333333333333333
2,0,1,0.375,0.578947368421053,1,0,0.0266666666666667,0,0,0.75,0.25,0.25,1,0.666666666666667,0
2,0.5,0.25,0.6875,0.736842105263158,0.25,0.5,0.0266666666666667,0.142857142857143,0,0.5,0.75,0.75,0,0,0
1,0,0.25,0.125,0,0.5,0.25,0,0.285714285714286,1,1,0.75,1,1,0,0
2,0,0.25,0.3125,0.578947368421053,0.25,0.25,0,0,0,0.75,0.75,0.25,1,0.333333333333333,0
1,0,0.5,0.1875,0.368421052631579,0.75,0,0,0,1,0.5,0.5,0.25,0.5,0.333333333333333,0
2,0,0.5,0.4375,0.578947368421053,0.25,0,0.0266666666666667,0,0,0.75,0.5,0.25,1,0.333333333333333,0
1,0.25,1,0.25,0.315789473684211,1,0,0,0.142857142857143,0,0.5,0.5,0.25,1,0,0
2,0.25,0.25,0.3125,0.473684210526316,0.5,1,0,0,1,0.75,1,1,1,0,1
1,0.25,0.25,0.1875,0.263157894736842,0.25,1,0,0.428571428571429,1,0.25,0.5,1,0.75,0,0
2,0.5,0.25,0.5625,0.684210526315789,0.5,1,0.08,0.142857142857143,0.333333333333333,0.75,0.75,0.75,1,0,0
2,0.25,0.75,0.4375,0.526315789473684,0.75,0.5,0.106666666666667,0,0.666666666666667,0.75,0.25,0,0.5,0.666666666666667,0.333333333333333
1,0,0.5,0.125,0,0.75,0,0,0.571428571428571,1,0.75,1,0.75,0.75,0,0
2,0,1,0.5,0.578947368421053,1,0,0,0.285714285714286,0,0.75,0.25,0,0.75,0,0
1,0,0.75,0.5,0.421052631578947,0.5,0,0.0266666666666667,0,0,0.75,0.75,0.75,0,0.333333333333333,0
2,0.5,0.5,0.8125,0.631578947368421,0.25,0.5,0.106666666666667,0.285714285714286,0,0.25,0.25,0.25,1,0,0
2,0,0.25,0.375,0.421052631578947,0.25,1,0.08,0.428571428571429,1,1,0.25,1,0.75,0,0.666666666666667
3,0,0.5,0.875,0.789473684210526,0.5,0.25,0.0266666666666667,0.142857142857143,0,0.75,0.25,0.25,0.5,0,0.666666666666667
2,0.75,0.75,0.4375,0.631578947368421,0.75,0.75,0.0533333333333333,0.142857142857143,0.333333333333333,0.75,1,1,1,0.333333333333333,0
1,0.25,0.25,0.25,0.315789473684211,0.5,0.25,0,0.285714285714286,0.666666666666667,0.5,0.5,0.25,1,0,0.333333333333333
1,0,0.5,0.125,0.473684210526316,0.75,0.75,0.08,0,0.666666666666667,0.75,0.75,0.75,0.5,0.333333333333333,0.333333333333333
1,0.25,0.5,0.25,0,0.25,0.75,0,0.142857142857143,0.333333333333333,0.75,0.75,0.75,1,0,0.333333333333333
2,0,0.75,0.4375,0.526315789473684,0.25,0.75,0.0266666666666667,0.285714285714286,0,1,0.5,0.5,0.25,0,0
1,0,0.25,0.125,0.421052631578947,0.25,1,0,0.285714285714286,1,1,0.5,1,1,0.333333333333333,1
2,0,0.5,0.5625,0.578947368421053,0.75,0,0.213333333333333,0.142857142857143,0.333333333333333,0.75,1,0.25,0.25,0,0.333333333333333
2,0.25,0.5,0.4375,0.526315789473684,0.5,0.75,0.0533333333333333,0.142857142857143,0,0.75,0.5,1,0.75,0.333333333333333,0
3,0,0.5,0.6875,0.789473684210526,1,0,0,0.142857142857143,0,0.75,0.25,0.5,0.5,0.333333333333333,0
1,0,0.5,0.1875,0.368421052631579,0.5,0,0,0.142857142857143,0,1,0,1,0.75,0.333333333333333,0
2,0,1,0.6875,0.736842105263158,1,0,0,0.142857142857143,0,0.75,0.75,0.25,0.5,0.333333333333333,0
1,0.25,1,0.1875,0.263157894736842,0.75,0.75,0,0.142857142857143,0.666666666666667,0.5,0.75,1,0.25,0,0.666666666666667
3,0,0,0.625,0.789473684210526,0.25,0,0.0266666666666667,0.142857142857143,0,0.75,0.5,0.25,0.5,0.333333333333333,0.333333333333333
2,0,1,0.625,0.578947368421053,1,0.5,0,0.285714285714286,0,0.75,0.75,0.75,1,0.333333333333333,0
1,0,0.75,0.3125,0.368421052631579,0.25,0,0,0.142857142857143,1,0.75,0.5,1,0.5,0.333333333333333,0
1,0,0.75,0.4375,0.578947368421053,0.75,0,0.0533333333333333,0.142857142857143,0,0.75,0.75,1,0.75,0.333333333333333,0.333333333333333
1,0.75,0.75,0.4375,0.473684210526316,1,0.75,0.0533333333333333,0.285714285714286,0,0.75,0.75,0.75,0.75,0.333333333333333,0.333333333333333
2,0,0.5,0.625,0.684210526315789,0.5,0.75,0.0266666666666667,0.142857142857143,0,0.5,0.75,0.75,1,0.333333333333333,0.333333333333333
1,0,0.75,0.1875,0.263157894736842,0.75,0.75,0.0533333333333333,0.285714285714286,0,0.75,0.5,0.75,0.75,0.333333333333333,0
1,0.5,0.5,0.4375,0.421052631578947,1,0.75,0.133333333333333,0.142857142857143,0,0.75,0.5,0.5,0.5,0,0
2,0,0.75,0.4375,0.526315789473684,1,0,0.0533333333333333,0.285714285714286,0,1,0.25,0.5,0.25,0.333333333333333,0
1,0.25,0.75,0.375,0.421052631578947,1,0.5,0.133333333333333,0.142857142857143,0,0.5,0.75,0.5,0.5,0.333333333333333,0
2,0,0.75,0.5625,0.684210526315789,0.75,0.25,0.0266666666666667,0.142857142857143,0,0.75,0.25,0.5,0.5,0.333333333333333,0
3,0.25,1,0.8125,0.894736842105263,0.5,0.5,0,0.285714285714286,0,1,0.75,0.25,1,0.333333333333333,0
1,0.25,0.75,0.375,0.473684210526316,0.75,0.5,0.746666666666667,0.285714285714286,0,1,0.5,0.5,0,0.333333333333333,0
2,0,0.5,0.5625,0.684210526315789,0.75,0.25,0.186666666666667,0.142857142857143,0,0,0.25,0.25,0,0.333333333333333,0
2,0.25,0.75,0.5625,0.631578947368421,0.75,0.5,0.16,0.285714285714286,0,0.75,0.5,0.75,0.75,0.333333333333333,0
2,0,0.5,0.5,0.631578947368421,0.25,0.25,0.0266666666666667,0.142857142857143,0,0.5,0.5,0.5,0.5,0,0
3,0,0.25,0.75,0.789473684210526,0.5,0.25,0,0.142857142857143,0,0.75,0.25,0.5,1,0.333333333333333,0
1,0,0.75,0.3125,0.368421052631579,0.75,0.5,0.08,0.285714285714286,0,0.5,0.5,0.5,0.5,0.333333333333333,0
2,0,0.5,0.3125,0.473684210526316,0.25,1,0.0533333333333333,0.285714285714286,0,0.5,0,0.5,0.5,0.333333333333333,0
2,0,0.75,0.5,0.631578947368421,0.5,0,0.133333333333333,0.142857142857143,0,0.75,0.5,0.5,0.25,0.333333333333333,0
1,0,0.25,0.3125,0.421052631578947,0.25,0,0,0.285714285714286,0,1,0.5,0.5,0.5,0.333333333333333,0
1,0.75,0.5,0.25,0.421052631578947,0.25,1,0.16,0.285714285714286,0,0.75,0.75,0.75,1,0.333333333333333,0.333333333333333
2,0.5,0.75,0.3125,0.473684210526316,0.75,0.75,0.106666666666667,0.142857142857143,0,0.75,0.5,0.25,1,0,0
2,0,0.75,0.625,0.736842105263158,0.5,0,0,0.142857142857143,0,1,0.5,0.5,0.5,0,0.333333333333333
3,0,1,0.6875,0.789473684210526,0.5,0,0,0.285714285714286,0,0.75,0.5,0.25,1,0.333333333333333,0
3,0,1,0.875,0.789473684210526,1,0.25,0.0533333333333333,0.285714285714286,0,1,0.25,0.5,1,0,0
2,0.5,0.75,0.375,0.473684210526316,0.75,1,0.106666666666667,0.142857142857143,0,0.5,0.5,0.75,0.5,0,0.666666666666667
3,0.25,1,0.9375,0.947368421052632,1,0.5,0.32,0.285714285714286,0.333333333333333,0.75,0.25,0.75,0.25,0,0.333333333333333
2,0,1,0.375,0.473684210526316,1,0.25,0,0.142857142857143,0,0.75,1,0.25,0.5,0.333333333333333,0
3,0,0.75,0.8125,0.842105263157895,1,1,0.0266666666666667,0.142857142857143,0,0.75,0.5,1,0.25,0.333333333333333,0
2,0,0.75,0.3125,0.526315789473684,0.5,0.5,0.08,0.142857142857143,0,0.75,0.75,0.5,0.75,0.333333333333333,0
2,0,0.25,0.375,0.473684210526316,0.25,0.5,0.0533333333333333,0.285714285714286,0,0.75,0.75,0.75,0,0.333333333333333,0
1,0,0.5,0.25,0.315789473684211,0.5,0.25,0.24,0.285714285714286,0,1,0.5,0.25,0.5,0,0
2,0,0.5,0.4375,0.526315789473684,0.5,0,0.08,0.142857142857143,0,1,0.5,1,1,1,0.333333333333333
1,0.5,1,0.4375,0.473684210526316,0.75,0.75,0.373333333333333,0.285714285714286,0.333333333333333,0.75,0.75,0.5,1,0.666666666666667,0
1,0.25,0.25,0.25,0.368421052631579,0.75,0.25,0.0666666666666667,0.142857142857143,1,0.25,0.5,0.5,0.75,0.333333333333333,0
2,0,0.75,0.5,0.631578947368421,1,0,0.133333333333333,0.142857142857143,0,0,0.5,0.25,0,0.333333333333333,0
2,0,0.25,0.375,0.473684210526316,0.25,0.75,0.08,0.142857142857143,0,0.75,0.5,0.25,1,0,0.333333333333333
1,0,0.75,0.25,0.368421052631579,1,0,0.08,0.285714285714286,0,0.75,0.75,0.25,0.75,0.666666666666667,0.333333333333333
1,0,0.75,0.3125,0.421052631578947,0.75,0.25,0.133333333333333,0.571428571428571,0,0.75,0.5,0.5,0.5,1,0
2,0.75,1,0.5625,0.631578947368421,1,1,0.173333333333333,0.285714285714286,0,1,0.5,1,0.5,0.333333333333333,0
2,0,0.5,0.5625,0.684210526315789,0.5,0,0,0.142857142857143,0,0.5,0.5,0.75,0.75,0.333333333333333,0
1,0.25,0.5,0.1875,0.368421052631579,0.5,0.75,0.2,0.428571428571429,0.333333333333333,0.75,0.75,0.75,1,0.333333333333333,0
2,0,1,0.3125,0.526315789473684,1,0.25,0.16,0.285714285714286,0,1,0.25,0,0.5,0,0
3,0,0.5,0.6875,0.789473684210526,0.75,0.5,0.0266666666666667,0.285714285714286,0,0.75,0.75,0.75,0,0.333333333333333,0.333333333333333
1,0.25,0.75,0.1875,0.315789473684211,1,0.75,0.293333333333333,0.285714285714286,0.666666666666667,0.5,0.75,1,0,0.333333333333333,0
